codigo,nombre,region_codigo
15101,Arica,15
15102,Camarones,15
15201,Putre,15
15202,General Lagos,15
01101,Iquique,01
01107,Alto Hospicio,01
01401,Pozo Almonte,01
01402,Camiña,01
01403,Colchane,01
01404,Huara,01
01405,Pica,01
02101,Antofagasta,02
02102,Mejillones,02
02103,Sierra Gorda,02
02104,Taltal,02
02201,Calama,02
02202,Ollagüe,02
02203,San Pedro de Atacama,02
02301,Tocopilla,02
02302,María Elena,02
03101,Copiapó,03
03102,Caldera,03
03103,Tierra Amarilla,03
03201,Chañaral,03
03202,Diego de Almagro,03
03301,Vallenar,03
03302,Alto del Carmen,03
03303,Freirina,03
03304,Huasco,03
04101,La Serena,04
04102,Coquimbo,04
04103,Andacollo,04
04104,La Higuera,04
04105,Paiguano,04
04106,Vicuña,04
04201,Illapel,04
04202,Canela,04
04203,Los Vilos,04
04204,Salamanca,04
04301,Ovalle,04
04302,Combarbalá,04
04303,Monte Patria,04
04304,Punitaqui,04
04305,Río Hurtado,04
05101,Valparaíso,05
05102,Casablanca,05
05103,Concón,05
05104,Juan Fernández,05
05105,Puchuncaví,05
05107,Quintero,05
05109,Viña del Mar,05
05201,Isla de Pascua,05
05301,Los Andes,05
05302,Calle Larga,05
05303,Rinconada,05
05304,San Esteban,05
05401,La Ligua,05
05402,Cabildo,05
05403,Papudo,05
05404,Petorca,05
05405,Zapallar,05
05501,Quillota,05
05502,Calera,05
05503,Hijuelas,05
05504,La Cruz,05
05506,Nogales,05
05601,San Antonio,05
05602,Algarrobo,05
05603,Cartagena,05
05604,El Quisco,05
05605,El Tabo,05
05606,Santo Domingo,05
05701,San Felipe,05
05702,Catemu,05
05703,Llaillay,05
05704,Panquehue,05
05705,Putaendo,05
05706,Santa María,05
05801,Quilpué,05
05802,Limache,05
05803,Olmué,05
05804,Villa Alemana,05
13101,Santiago,13
13102,Cerrillos,13
13103,Cerro Navia,13
13104,Conchalí,13
13105,El Bosque,13
13106,Estación Central,13
13107,Huechuraba,13
13108,Independencia,13
13109,La Cisterna,13
13110,La Florida,13
13111,La Granja,13
13112,La Pintana,13
13113,La Reina,13
13114,Las Condes,13
13115,Lo Barnechea,13
13116,Lo Espejo,13
13117,Lo Prado,13
13118,Macul,13
13119,Maipú,13
13120,Ñuñoa,13
13121,Pedro Aguirre Cerda,13
13122,Peñalolén,13
13123,Providencia,13
13124,Pudahuel,13
13125,Quilicura,13
13126,Quinta Normal,13
13127,Recoleta,13
13128,Renca,13
13129,San Joaquín,13
13130,San Miguel,13
13131,San Ramón,13
13132,Vitacura,13
13201,Puente Alto,13
13202,Pirque,13
13203,San José de Maipo,13
13301,Colina,13
13302,Lampa,13
13303,Tiltil,13
13401,San Bernardo,13
13402,Buin,13
13403,Calera de Tango,13
13404,Paine,13
13501,Melipilla,13
13502,Alhué,13
13503,Curacaví,13
13504,María Pinto,13
13505,San Pedro,13
13601,Talagante,13
13602,El Monte,13
13603,Isla de Maipo,13
13604,Padre Hurtado,13
13605,Peñaflor,13
06101,Rancagua,06
06102,Codegua,06
06103,Coinco,06
06104,Coltauco,06
06105,Doñihue,06
06106,Graneros,06
06107,Las Cabras,06
06108,Machalí,06
06109,Malloa,06
06110,Mostazal,06
06111,Olivar,06
06112,Peumo,06
06113,Pichidegua,06
06114,Quinta de Tilcoco,06
06115,Rengo,06
06116,Requínoa,06
06117,San Vicente,06
06201,Pichilemu,06
06202,La Estrella,06
06203,Litueche,06
06204,Marchihue,06
06205,Navidad,06
06206,Paredones,06
06301,San Fernando,06
06302,Chépica,06
06303,Chimbarongo,06
06304,Lolol,06
06305,Nancagua,06
06306,Palmilla,06
06307,Peralillo,06
06308,Placilla,06
06309,Pumanque,06
06310,Santa Cruz,06
07101,Talca,07
07102,Constitución,07
07103,Curepto,07
07104,Empedrado,07
07105,Maule,07
07106,Pelarco,07
07107,Pencahue,07
07108,Río Claro,07
07109,San Clemente,07
07110,San Rafael,07
07201,Cauquenes,07
07202,Chanco,07
07203,Pelluhue,07
07301,Curicó,07
07302,Hualañé,07
07303,Licantén,07
07304,Molina,07
07305,Rauco,07
07306,Romeral,07
07307,Sagrada Familia,07
07308,Teno,07
07309,Vichuquén,07
07401,Linares,07
07402,Colbún,07
07403,Longaví,07
07404,Parral,07
07405,Retiro,07
07406,San Javier,07
07407,Villa Alegre,07
07408,Yerbas Buenas,07
16101,Chillán,16
16102,Bulnes,16
16103,Chillán Viejo,16
16104,El Carmen,16
16105,Pemuco,16
16106,Pinto,16
16107,Quillón,16
16108,San Ignacio,16
16109,Yungay,16
16201,Cobquecura,16
16202,Coelemu,16
16203,Ninhue,16
16204,Portezuelo,16
16205,Quirihue,16
16206,Ránquil,16
16207,Trehuaco,16
16301,San Carlos,16
16302,Coihueco,16
16303,Ñiquén,16
16304,San Fabián,16
16305,San Nicolás,16
08101,Concepción,08
08102,Coronel,08
08103,Chiguayante,08
08104,Florida,08
08105,Hualqui,08
08106,Lota,08
08107,Penco,08
08108,San Pedro de la Paz,08
08109,Santa Juana,08
08110,Talcahuano,08
08111,Tomé,08
08112,Hualpén,08
08201,Lebu,08
08202,Arauco,08
08203,Cañete,08
08204,Contulmo,08
08205,Curanilahue,08
08206,Los Álamos,08
08207,Tirúa,08
08301,Los Ángeles,08
08302,Antuco,08
08303,Cabrero,08
08304,Laja,08
08305,Mulchén,08
08306,Nacimiento,08
08307,Negrete,08
08308,Quilaco,08
08309,Quilleco,08
08310,San Rosendo,08
08311,Santa Bárbara,08
08312,Tucapel,08
08313,Yumbel,08
08314,Alto Biobío,08
09101,Temuco,09
09102,Carahue,09
09103,Cunco,09
09104,Curarrehue,09
09105,Freire,09
09106,Galvarino,09
09107,Gorbea,09
09108,Lautaro,09
09109,Loncoche,09
09110,Melipeuco,09
09111,Nueva Imperial,09
09112,Padre Las Casas,09
09113,Perquenco,09
09114,Pitrufquén,09
09115,Pucón,09
09116,Saavedra,09
09117,Teodoro Schmidt,09
09118,Toltén,09
09119,Vilcún,09
09120,Villarrica,09
09121,Cholchol,09
09201,Angol,09
09202,Collipulli,09
09203,Curacautín,09
09204,Ercilla,09
09205,Lonquimay,09
09206,Los Sauces,09
09207,Lumaco,09
09208,Purén,09
09209,Renaico,09
09210,Traiguén,09
09211,Victoria,09
14101,Valdivia,14
14102,Corral,14
14103,Futrono,14
14104,La Unión,14
14105,Lago Ranco,14
14106,Lanco,14
14107,Los Lagos,14
14108,Máfil,14
14109,Mariquina,14
14110,Paillaco,14
14111,Panguipulli,14
14112,Río Bueno,14
10101,Puerto Montt,10
10102,Calbuco,10
10103,Cochamó,10
10104,Fresia,10
10105,Frutillar,10
10106,Los Muermos,10
10107,Llanquihue,10
10108,Maullín,10
